"UniqueSite","Site_Lat","Site_Long","Year","Targeted.biomass","PA_tp","Atoll","DepthCategory","CleanHabitat","Protection","CensusMethod","Total.sampling.Area","gravtot_500km","MPAage","NTZarea","Regional_population_growth","Ocean_prod","Climate_stress","HDI","Larger_pop_size","spatialcatch_tkm2","Larger_2","SocialSIte4km"
8968,-12.9099,48.54926667,2011,711.86,0,0,"0-4m","Crest","Fished","Standard belt transect",500,20.81938028,0,0,22.8848148,673.4840979,0.572260371,0.551,21079532,1.58074365794344,"Madagascar","MacClanahan_54"
8969,-4.49611,39.48417,2009,1221.50179,0,0,"0-4m","Crest","Fished","Standard belt transect",500,988.643498,0,0,15.81116073,396.3307885,0.613485865,0.567,40909194,6.59106828881532,"Kenya","MacClanahan_55"
8972,-4.64119,39.34288,2011,67.1622168,0,0,"0-4m","Crest","UnfishedLow","Standard belt transect",1000,400.6779841,1,0.28,14.93428661,424.4352696,0.619804298,0.567,40909194,6.59106828881532,"Kenya","MacClanahan_27"
8973,-4.643811,39.334216,2010,57.16,0,0,"0-4m","Lagoon_Back reef","UnfishedLow","Standard belt transect",1000,368.2470461,0,0.28,14.93428661,424.4352696,0.619804298,0.567,40909194,6.59106828881532,"Kenya","MacClanahan_27"
8974,-4.64119,39.34288,2010,89.845,0,0,"0-4m","Crest","UnfishedLow","Standard belt transect",1000,400.6779841,0,0.28,14.93428661,424.4352696,0.619804298,0.567,40909194,6.59106828881532,"Kenya","MacClanahan_27"
8975,-10.34,40.374,2008,104.84,0,0,"0-4m","Slope","Fished","Standard belt transect",1000,82.47226746,0,0,5.260624384,323.1513475,0.615318066,0.52,44973330,5.10244645356785,"Tanzania","MacClanahan_56"
8977,-10.99394444,40.69594444,2011,1019.95,0,0,"0-4m","Flat","UnfishedHigh","Standard belt transect",500,18.97681989,4,5,10.6745948,346.6630397,0.6224,0.374,23967265,1.25413901998885,"Mozambique","MacClanahan_58"
8978,-10.9953,40.6928,2008,512.845,1,0,"0-4m","Lagoon_Back reef","Fished","Standard belt transect",1000,19.15161059,0,0,10.6745948,346.6630397,0.6224,0.374,23967265,1.25413901998885,"Mozambique","MacClanahan_58"
8982,-4.71505674,39.37337634,2009,1149.7,1,0,"0-4m","Lagoon_Back reef","UnfishedHigh","Standard belt transect",2000,257.7844784,34,28,14.96910848,414.2341674,0.618527162,0.567,40909194,6.59106828881532,"Kenya","MacClanahan_59"
8984,-4.71505674,39.37337634,2012,878.9929053,1,0,"0-4m","Lagoon_Back reef","UnfishedHigh","Standard belt transect",2000,257.7844784,39,28,14.96910848,414.2341674,0.618527162,0.567,40909194,6.59106828881532,"Kenya","MacClanahan_59"
8986,-4.71528447,39.36792752,2012,321.9359356,1,0,"0-4m","Lagoon_Back reef","UnfishedHigh","Standard belt transect",2000,259.2602358,39,28,14.96910848,414.2341674,0.618527162,0.567,40909194,6.59106828881532,"Kenya","MacClanahan_59"
8988,-4.36861,39.57719,2009,46.845,0,0,"0-4m","Slope","Fished","Standard belt transect",1000,889.3632661,0,0,16.40299505,389.9868369,0.609689582,0.567,40909194,6.59106828881532,"Kenya","MacClanahan_37"
8989,-8.06298,39.42824,2007,706,1,0,"0-4m","Crest","UnfishedLow","Standard belt transect",2000,69.99781562,12,822,18.03581162,581.3405345,0.594447668,0.52,44973330,5.10244645356785,"Tanzania","MacClanahan_60"
